year,tradeflow,reportercode,reporter,reporteriso,partner,partneriso,commoditycode,commodity,netweightkg,tradevalueus
2017,Export,410,Rep. of Korea,KOR,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",1273003,274675832
2017,Export,490,Taiwan,TWN,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",5476544,1129168214
2018,Export,410,Rep. of Korea,KOR,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",1280011,318213277
2018,Export,490,Taiwan,TWN,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",5307883,1093471612
2019,Export,410,Rep. of Korea,KOR,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",1650907,297145879
2019,Export,490,Taiwan,TWN,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",4541950,939357247
2020,Export,410,Rep. of Korea,KOR,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",1462736,259093336
2020,Export,490,Taiwan,TWN,World,WLD,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",4139509,957949012
2017,Export,410,Rep. of Korea,KOR,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",683873,280703685
2017,Export,490,Taiwan,TWN,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",242081,83536473
2018,Export,410,Rep. of Korea,KOR,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",671445,303777022
2018,Export,490,Taiwan,TWN,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",282333,88262048
2019,Export,410,Rep. of Korea,KOR,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",681400,318562638
2019,Export,490,Taiwan,TWN,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",271605,82983320
2020,Export,410,Rep. of Korea,KOR,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",650185,301946030
2020,Export,490,Taiwan,TWN,World,WLD,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",262536,88082088
2017,Export,410,Rep. of Korea,KOR,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2055594,495855889
2017,Export,490,Taiwan,TWN,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1688163,574443528
2018,Export,410,Rep. of Korea,KOR,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2159714,631745771
2018,Export,490,Taiwan,TWN,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1867942,731897725
2019,Export,410,Rep. of Korea,KOR,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1878605,663174149
2019,Export,490,Taiwan,TWN,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1611173,709471835
2020,Export,410,Rep. of Korea,KOR,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1548402,670712493
2020,Export,490,Taiwan,TWN,World,WLD,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",1869167,827426144
2017,Export,410,Rep. of Korea,KOR,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",34898,7244531
2017,Export,490,Taiwan,TWN,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",108851,18954370
2018,Export,410,Rep. of Korea,KOR,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",52011,6940772
2018,Export,490,Taiwan,TWN,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",116699,21020543
2019,Export,410,Rep. of Korea,KOR,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",,4873898
2019,Export,490,Taiwan,TWN,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",121106,23902366
2020,Export,410,Rep. of Korea,KOR,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",7485,2617086
2020,Export,490,Taiwan,TWN,World,WLD,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",85039,24932598
2017,Export,410,Rep. of Korea,KOR,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",247828601,4613521504
2017,Export,490,Taiwan,TWN,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",49944918,4414667787
2018,Export,410,Rep. of Korea,KOR,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",231105949,4307645038
2018,Export,490,Taiwan,TWN,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",37063935,3112050519
2019,Export,410,Rep. of Korea,KOR,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",212366729,3512495941
2019,Export,490,Taiwan,TWN,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",20903667,2058364418
2020,Export,410,Rep. of Korea,KOR,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",201653654,3110876144
2020,Export,490,Taiwan,TWN,World,WLD,854140,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",12237760,1836325723
2017,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",117321,227972206
2017,Export,490,Taiwan,TWN,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",21399,12552061
2018,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",124096,227976470
2018,Export,490,Taiwan,TWN,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",28339,15303838
2019,Export,410,Rep. of Korea,KOR,World,WLD,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",145992,242838961
