year,tradeflow,reportercode,reporter,reporteriso,partner,partneriso,commoditycode,commodity,netweightkg,tradevalueus
2017,Import,410,Rep. of Korea,KOR,World,WLD,281111,Hydrogen fluoride (hydrofluoric acid),109687252,149931107
2017,Import,410,Rep. of Korea,KOR,China,CHN,281111,Hydrogen fluoride (hydrofluoric acid),74460000,101407841
2017,Import,410,Rep. of Korea,KOR,Japan,JPN,281111,Hydrogen fluoride (hydrofluoric acid),32413580,45294525
2017,Import,410,Rep. of Korea,KOR,Taiwan,TWN,281111,Hydrogen fluoride (hydrofluoric acid),425600,778078
2018,Import,410,Rep. of Korea,KOR,World,WLD,281111,Hydrogen fluoride (hydrofluoric acid),125295023,228258601
2018,Import,410,Rep. of Korea,KOR,China,CHN,281111,Hydrogen fluoride (hydrofluoric acid),78165450,144574821
2018,Import,410,Rep. of Korea,KOR,Japan,JPN,281111,Hydrogen fluoride (hydrofluoric acid),41528500,73141118
2018,Import,410,Rep. of Korea,KOR,Taiwan,TWN,281111,Hydrogen fluoride (hydrofluoric acid),4650340,9062300
2019,Import,410,Rep. of Korea,KOR,World,WLD,281111,Hydrogen fluoride (hydrofluoric acid),112817563,199755267
2019,Import,410,Rep. of Korea,KOR,China,CHN,281111,Hydrogen fluoride (hydrofluoric acid),77722470,131482834
2019,Import,410,Rep. of Korea,KOR,Japan,JPN,281111,Hydrogen fluoride (hydrofluoric acid),23888053,44982432
2019,Import,410,Rep. of Korea,KOR,Taiwan,TWN,281111,Hydrogen fluoride (hydrofluoric acid),10350540,21073135
2020,Import,410,Rep. of Korea,KOR,World,WLD,281111,Hydrogen fluoride (hydrofluoric acid),99320640,152110190
2020,Import,410,Rep. of Korea,KOR,China,CHN,281111,Hydrogen fluoride (hydrofluoric acid),89511720,129710908
2020,Import,410,Rep. of Korea,KOR,Japan,JPN,281111,Hydrogen fluoride (hydrofluoric acid),4948036,12048603
2020,Import,410,Rep. of Korea,KOR,Taiwan,TWN,281111,Hydrogen fluoride (hydrofluoric acid),4811705,9143121
2017,Import,410,Rep. of Korea,KOR,World,WLD,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",7924021,382754747
2017,Import,410,Rep. of Korea,KOR,China,CHN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2416549,14635750
2017,Import,410,Rep. of Korea,KOR,Japan,JPN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2437895,322650191
2017,Import,410,Rep. of Korea,KOR,Taiwan,TWN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",231126,1804216
2018,Import,410,Rep. of Korea,KOR,World,WLD,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",7745560,452538859
2018,Import,410,Rep. of Korea,KOR,China,CHN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2381650,12173937
2018,Import,410,Rep. of Korea,KOR,Japan,JPN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2653819,398191571
2018,Import,410,Rep. of Korea,KOR,Taiwan,TWN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",144514,947824
2019,Import,410,Rep. of Korea,KOR,World,WLD,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",7654692,428514665
2019,Import,410,Rep. of Korea,KOR,China,CHN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2510057,9299318
2019,Import,410,Rep. of Korea,KOR,Japan,JPN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2595971,365337702
2019,Import,410,Rep. of Korea,KOR,Taiwan,TWN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",129571,1668248
2020,Import,410,Rep. of Korea,KOR,World,WLD,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",6954657,519049247
2020,Import,410,Rep. of Korea,KOR,China,CHN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",1618721,8609398
2020,Import,410,Rep. of Korea,KOR,Japan,JPN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2745982,436949918
2020,Import,410,Rep. of Korea,KOR,Taiwan,TWN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",301439,4626967
2017,Import,410,Rep. of Korea,KOR,World,WLD,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",43607999,383557270
2017,Import,410,Rep. of Korea,KOR,China,CHN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",21507920,92366212
2017,Import,410,Rep. of Korea,KOR,Japan,JPN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",8210414,164040174
2017,Import,410,Rep. of Korea,KOR,Taiwan,TWN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",3440118,40929437
2018,Import,410,Rep. of Korea,KOR,World,WLD,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",42067252,375902296
2018,Import,410,Rep. of Korea,KOR,China,CHN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",22600460,87613743
2018,Import,410,Rep. of Korea,KOR,Japan,JPN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",7518741,170523602
2018,Import,410,Rep. of Korea,KOR,Taiwan,TWN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",3475619,38859007
2019,Import,410,Rep. of Korea,KOR,World,WLD,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",43688856,389683994
2019,Import,410,Rep. of Korea,KOR,China,CHN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",25047960,97286321
2019,Import,410,Rep. of Korea,KOR,Japan,JPN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",6957651,171840925
2019,Import,410,Rep. of Korea,KOR,Taiwan,TWN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",3045541,42455342
2020,Import,410,Rep. of Korea,KOR,World,WLD,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",47234899,409217770
2020,Import,410,Rep. of Korea,KOR,China,CHN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",27562050,95231388
2020,Import,410,Rep. of Korea,KOR,Japan,JPN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",7378957,195143440
2020,Import,410,Rep. of Korea,KOR,Taiwan,TWN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",2398919,34171646
2016,Import,410,Rep. of Korea,KOR,World,WLD,281111,Hydrogen fluoride (hydrofluoric acid),99494623,113369753
2016,Import,410,Rep. of Korea,KOR,China,CHN,281111,Hydrogen fluoride (hydrofluoric acid),72914822,75988085
2016,Import,410,Rep. of Korea,KOR,Japan,JPN,281111,Hydrogen fluoride (hydrofluoric acid),25003893,35503292
2016,Import,410,Rep. of Korea,KOR,Taiwan,TWN,281111,Hydrogen fluoride (hydrofluoric acid),20,1512
2016,Import,410,Rep. of Korea,KOR,World,WLD,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",8135300,344564656
2016,Import,410,Rep. of Korea,KOR,China,CHN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2614113,15376026
2016,Import,410,Rep. of Korea,KOR,Japan,JPN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",2283763,291074993
2016,Import,410,Rep. of Korea,KOR,Taiwan,TWN,370790,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",330381,2659166
2016,Import,410,Rep. of Korea,KOR,World,WLD,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",40286006,354377666
2016,Import,410,Rep. of Korea,KOR,China,CHN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",17714593,74445748
2016,Import,410,Rep. of Korea,KOR,Japan,JPN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",7107355,148824190
2016,Import,410,Rep. of Korea,KOR,Taiwan,TWN,392190,"Plastics; plates, sheets, film, foil and strip, other than cellular",3713810,43870622
