iso3_exp,exporter,GEO,nGDP,rank,share,sector,NACEr1,CO2_intensity,destination,X,X_CBAM
DZA,Algeria,Africa,160034.22,38,.0020706549,"Food , beverages and tobacco",15t16,.35987267,EU27,65327.35952236946,0
DZA,Algeria,Africa,160034.22,38,.0020706549,"Food , beverages and tobacco",15t16,.35987267,RoW,275753.3556157291,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Textiles and textile,17t18,.34086084,EU27,839.75500388816,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Textiles and textile,17t18,.34086084,RoW,3648.659984933096,0
DZA,Algeria,Africa,160034.22,38,.0020706549,"Leather, leather and footwear",19,.19375706,EU27,10013.14705329202,0
DZA,Algeria,Africa,160034.22,38,.0020706549,"Leather, leather and footwear",19,.19375706,RoW,3382.637042805087,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Wood and of wood and cork,20,.46805823,EU27,1139.876990532503,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Wood and of wood and cork,20,.46805823,RoW,1438.36901782616,0
DZA,Algeria,Africa,160034.22,38,.0020706549,"Pulp, paper, paper , printing and publishing",21t22,.45346645,EU27,1534.912989971112,0
DZA,Algeria,Africa,160034.22,38,.0020706549,"Pulp, paper, paper , printing and publishing",21t22,.45346645,RoW,7067.101076686638,0
DZA,Algeria,Africa,160034.22,38,.0020706549,"Coke, refined petroleum and nuclear fuel",23,2.87748,EU27,2305578.572200969,0
DZA,Algeria,Africa,160034.22,38,.0020706549,"Coke, refined petroleum and nuclear fuel",23,2.87748,RoW,6105076.15896624,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Chemicals and chemical,24,1.4067867,EU27,966623.3193862329,519435.7659425139
DZA,Algeria,Africa,160034.22,38,.0020706549,Chemicals and chemical,24,1.4067867,RoW,427878.9935464894,371682.8210373521
DZA,Algeria,Africa,160034.22,38,.0020706549,Rubber and plastics,25,.2790187,EU27,2553.457031865488,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Rubber and plastics,25,.2790187,RoW,3746.157953251502,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Other non-metallic mineral,26,4.8430367,EU27,7726.021066242596,8.487000003457069
DZA,Algeria,Africa,160034.22,38,.0020706549,Other non-metallic mineral,26,4.8430367,RoW,16294.86883488018,92.5719998255372
DZA,Algeria,Africa,160034.22,38,.0020706549,Basic metals and fabricated metal,27t28,1.9624588,EU27,5365.623959819903,2733.367980159586
DZA,Algeria,Africa,160034.22,38,.0020706549,Basic metals and fabricated metal,27t28,1.9624588,RoW,8049.511829896248,1340.980009024264
DZA,Algeria,Africa,160034.22,38,.0020706549,"Machinery, nec",29,.19455881,EU27,23643.35168343456,17.2070000320673
DZA,Algeria,Africa,160034.22,38,.0020706549,"Machinery, nec",29,.19455881,RoW,9717.917175412062,53.87599845603108
DZA,Algeria,Africa,160034.22,38,.0020706549,Electrical and optical equipment,30t33,.20186955,EU27,20467.28189800156,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Electrical and optical equipment,30t33,.20186955,RoW,57720.49708636641,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Transport equipment,34t35,.29114175,EU27,25886.70443307981,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Transport equipment,34t35,.29114175,RoW,5044.536985330284,0
DZA,Algeria,Africa,160034.22,38,.0020706549,Manufacturing nec; recycling,36t37,.26614583,EU27,9087.704142986331,29.23399925231934
