time,partner,commodity,commoditycode,netweight,tradevalueus,t,year
2017.01,China,Hydrogen fluoride (hydrofluoric acid),281111,6919010,6755,2017.01,2017
2017.02,China,Hydrogen fluoride (hydrofluoric acid),281111,6203009,6767,2017.02,2017
2017.03,China,Hydrogen fluoride (hydrofluoric acid),281111,6858326,8431,2017.03,2017
2017.04,China,Hydrogen fluoride (hydrofluoric acid),281111,5942012,7090,2017.04,2017
2017.05,China,Hydrogen fluoride (hydrofluoric acid),281111,5498122,7342,2017.05,2017
2017.06,China,Hydrogen fluoride (hydrofluoric acid),281111,6415623,9712,2017.06,2017
2017.07,China,Hydrogen fluoride (hydrofluoric acid),281111,5528842,8902,2017.07,2017
2017.08,China,Hydrogen fluoride (hydrofluoric acid),281111,6492612,9273,2017.08,2017
2017.09,China,Hydrogen fluoride (hydrofluoric acid),281111,6507344,8432,2017.09,2017
2017.10,China,Hydrogen fluoride (hydrofluoric acid),281111,4392542,6051,2017.10,2017
2017.11,China,Hydrogen fluoride (hydrofluoric acid),281111,6820990,11346,2017.11,2017
2017.12,China,Hydrogen fluoride (hydrofluoric acid),281111,6881584,11306,2017.12,2017
2018.01,China,Hydrogen fluoride (hydrofluoric acid),281111,6629412,12007,2018.01,2018
2018.02,China,Hydrogen fluoride (hydrofluoric acid),281111,6626422,13430,2018.02,2018
2018.03,China,Hydrogen fluoride (hydrofluoric acid),281111,6075540,13983,2018.03,2018
2018.04,China,Hydrogen fluoride (hydrofluoric acid),281111,5729604,12358,2018.04,2018
2018.05,China,Hydrogen fluoride (hydrofluoric acid),281111,6610752,12052,2018.05,2018
2018.06,China,Hydrogen fluoride (hydrofluoric acid),281111,6021412,10057,2018.06,2018
2018.07,China,Hydrogen fluoride (hydrofluoric acid),281111,6776005,11391,2018.07,2018
2018.08,China,Hydrogen fluoride (hydrofluoric acid),281111,6728282,11599,2018.08,2018
2018.09,China,Hydrogen fluoride (hydrofluoric acid),281111,5707230,9599,2018.09,2018
2018.10,China,Hydrogen fluoride (hydrofluoric acid),281111,7531634,12516,2018.10,2018
2018.11,China,Hydrogen fluoride (hydrofluoric acid),281111,7373520,13183,2018.11,2018
2018.12,China,Hydrogen fluoride (hydrofluoric acid),281111,6355659,12400,2018.12,2018
2019.01,China,Hydrogen fluoride (hydrofluoric acid),281111,7789821,15150,2019.01,2019
2019.02,China,Hydrogen fluoride (hydrofluoric acid),281111,5366595,10051,2019.02,2019
2019.03,China,Hydrogen fluoride (hydrofluoric acid),281111,5675760,9982,2019.03,2019
2019.04,China,Hydrogen fluoride (hydrofluoric acid),281111,5951143,9530,2019.04,2019
2019.05,China,Hydrogen fluoride (hydrofluoric acid),281111,6718902,11027,2019.05,2019
2019.06,China,Hydrogen fluoride (hydrofluoric acid),281111,5648692,8857,2019.06,2019
2019.07,China,Hydrogen fluoride (hydrofluoric acid),281111,7395750,12259,2019.07,2019
2019.08,China,Hydrogen fluoride (hydrofluoric acid),281111,5864650,10476,2019.08,2019
2019.09,China,Hydrogen fluoride (hydrofluoric acid),281111,6043235,10364,2019.09,2019
2019.10,China,Hydrogen fluoride (hydrofluoric acid),281111,7521520,12258,2019.10,2019
2019.11,China,Hydrogen fluoride (hydrofluoric acid),281111,6609540,10378,2019.11,2019
2019.12,China,Hydrogen fluoride (hydrofluoric acid),281111,7136865,11149,2019.12,2019
2020.01,China,Hydrogen fluoride (hydrofluoric acid),281111,8348842,12848,2020.01,2020
2020.02,China,Hydrogen fluoride (hydrofluoric acid),281111,4924030,7575,2020.02,2020
2020.03,China,Hydrogen fluoride (hydrofluoric acid),281111,8047008,13253,2020.03,2020
2020.04,China,Hydrogen fluoride (hydrofluoric acid),281111,7833410,12996,2020.04,2020
2020.05,China,Hydrogen fluoride (hydrofluoric acid),281111,6314560,9841,2020.05,2020
2020.06,China,Hydrogen fluoride (hydrofluoric acid),281111,6640135,9107,2020.06,2020
2020.07,China,Hydrogen fluoride (hydrofluoric acid),281111,8219490,11456,2020.07,2020
2020.08,China,Hydrogen fluoride (hydrofluoric acid),281111,7413098,10044,2020.08,2020
